id,titolo,categoria,video_index
1,L'alfabeto,Fonetica e ortografia,1
2,L'articolo determinativo singolare,Articolo determinativo,2
3,L'articolo determinativo plurale,Articolo determinativo,3
4,Il nome (parte prima),Morfologia del nome,4
5,Il nome (parte seconda),Morfologia del nome,5
6,Il nome (parte terza),Morfologia del nome,6
7,Il nome (ultima parte),Morfologia del nome,7
8,L'aggettivo qualificativo,Aggettivo qualificativo,8
9,I gradi dell'aggettivo,Aggettivo qualificativo (gradi),9
10,Aggettivi e pronomi possessivi,Aggettivo/pronome possessivo,10
11,Aggettivi e pronomi dimostrativi,Aggettivo/pronome dimostrativo,11
12,Aggettivi e pronomi indefiniti,Aggettivo/pronome indefinito,12
13,I numerali,Aggettivo numerale,13
14,I pronomi personali,Pronome personale,14
15,Pronomi interrogativi ed esclamativi,Pronome interrogativo/esclamativo/relativo,15
16,Gli avverbi,Avverbio,16
17,"Altri avverbi, interiezioni, congiunzioni, preposizioni",Avverbio/congiunzione/preposizione/interiezione,17
18,Il verbo (prima parte),Verbo - morfologia generale,18
19,I verbi ausiliari,Verbo - ausiliari essere/avere,19
20,Il verbo (parte seconda),Verbo - coniugazioni regolari (forma attiva),20
21,Il verbo (terza parte),"Verbo - forma medio-passiva, seconda coniugazione",21
22,Il modo imperativo,Verbo - modo imperativo,22
23,Il participio,Verbo - participio,23
24,Verbi irregolari e impersonali,Verbo - irregolari e impersonali,24
