id,lesson_id,regola_testo
1,1,"L'alfabeto per scrivere il griko riprende sostanzialmente quello italiano, con alcuni accorgimenti per suoni assenti in italiano."
2,1,"Il suono ""sc"" dolce italiano (come in ""scena"") si puo' rendere con ""sc"" davanti a e/i oppure con ""sk"" altrove."
3,1,"Per il suono aspirato tipo ""ch"" forte si usa ""ch"" oppure ""h""+c/k; per la ""z"" sorda (come in ""pozzo"") e' preferibile scrivere ""ts"" invece di ""z"", per evitare ambiguita' dovute alle diverse pronunce regionali della doppia z italiana."
4,2,"Il griko ha tre generi (maschile, femminile, neutro) e l'articolo si declina per caso (nominativo, genitivo/dativo, accusativo), non solo per genere e numero come in italiano."
5,2,"I complementi che in italiano si rendono con preposizioni (di, a) in griko si esprimono cambiando la forma stessa dell'articolo, per eredita' del greco antico."
6,2,"La n finale di alcune forme dell'articolo (es. equivalenti di ""ton"", ""tin"") cade in pronuncia e scrittura davanti a parola che inizia per consonante, mentre si mantiene davanti a vocale."
7,3,"Anche al plurale l'articolo mantiene tre generi e tre casi (nominativo, genitivo/dativo, accusativo)."
8,3,"Il metodo di apprendimento suggerito dal docente e' memorizzare frasi intere di esempio e dedurne la regola, invece di imparare a memoria schemi astratti."
9,4,"Il nome griko ha tre generi (maschile, femminile, neutro), come il greco antico e il latino, a differenza dell'italiano che ne ha solo due."
10,4,"La desinenza del nominativo singolare varia a seconda della sillaba su cui cade l'accento (parola sdrucciola, piana o tronca), e questo determina sottoclassi diverse di declinazione."
11,4,Alcuni nomi hanno un genere diverso da quello del corrispondente termine italiano (es. un nome femminile in italiano puo' essere maschile in griko).
12,5,"I nomi maschili con desinenza in -i sono per lo piu' di origine straniera o indicano mestieri e mesi, con desinenze piuttosto regolari."
13,5,"I nomi femminili terminano tipicamente in -a; l'accento puo' cadere sulla terzultima, penultima o ultima sillaba, con lievi differenze di declinazione tra i tre casi."
14,6,"I nomi femminili con desinenza in -i seguono uno schema di declinazione proprio, distinto da quello dei nomi femminili in -a."
15,6,"I nomi neutri condividono alcune desinenze con i nomi maschili al singolare, ma se ne discostano al plurale (nominativo e accusativo plurale hanno forme specifiche)."
16,6,"Con l'articolo neutro non si verifica il raddoppiamento della consonante iniziale della parola seguente, perche' l'articolo neutro non termina in -n."
17,7,I nomi neutri con desinenza in -i e in -a seguono paradigmi di declinazione distinti per singolare e plurale nei quattro casi.
18,7,"Quando le desinenze coincidono fra generi diversi, per riconoscere il genere di un nome occorre affidarsi al vocabolario o alla pratica d'uso, non solo allo schema delle desinenze."
19,8,"Gli aggettivi qualificativi si dividono in gruppi secondo la desinenza del nominativo singolare (es. -o/-a/-o; -e/-a/-o; -i/-ea/-i) e si accordano in genere, numero e caso col nome che accompagnano."
20,8,"Esistono aggettivi a declinazione irregolare (equivalenti di ""molto"", ""grande"", ""bugiardo"") che seguono schemi propri diversi dai gruppi regolari."
21,8,Gli aggettivi diminutivi hanno desinenze dedicate per esprimere una sfumatura vezzeggiativa o di compassione (equivalente italiano del suffisso -etto/-uccio).
22,9,Il comparativo di maggioranza si forma con un avverbio prima dell'aggettivo; il secondo termine di paragone puo' essere introdotto da preposizioni diverse a seconda del genere e numero del termine stesso.
23,9,"Il comparativo di uguaglianza si costruisce con coppie di correlativi equivalenti a ""tanto...quanto"" o ""cosi'...come""."
24,9,"Il superlativo relativo si forma anteponendo l'articolo al comparativo di maggioranza; il superlativo assoluto si forma anteponendo all'aggettivo di grado positivo un avverbio equivalente a ""molto"", oppure ripetendo due volte l'aggettivo stesso."
25,10,"I possessivi hanno una forma atona (enclitica, usata solo come aggettivo e appoggiata alla parola precedente) e una forma tonica (usabile sia come aggettivo sia come pronome)."
26,10,"A differenza dell'italiano, che ha un'unica particella invariabile per ""mio"", ""tuo"" ecc. indipendente dal genere del posseduto, il griko distingue esplicitamente se il possessore di terza persona e' maschile o femminile (equivalente di ""suo di lui"" vs ""suo di lei""), distinzione che l'italiano non fa."
