id,lesson_id,parola_griko,parola_italiano
1,1,cardìa,cuore
2,1,chiatèra,ragazza
3,2,papù,nonno
4,2,scarpari,calzolaio
5,2,panìri,fiera
6,2,imèra,giorno
7,3,pedìa,ragazzi/bambini
8,3,argalìo,telaio
9,4,àntropo,uomo
10,4,fengo,luna
11,4,patèra,padre/prete
12,5,fornìta,gallina
13,5,thàlassa,mare
14,5,eklisìa,chiesa
15,6,dàttilo,dito
16,6,sìdero,ferro
17,6,gònato,ginocchio
18,7,aftì,orecchio
19,7,ònichi,unghia
20,7,èma,sangue
21,8,àspro,bianco
22,8,paleo,vecchio
23,8,glicìs,dolce
24,8,malo,grande
25,9,kalò,buono
26,9,kakò,cattivo
27,10,adelfì,sorella
28,10,pedì,figlio
29,11,sakì,sacco
30,11,arnàci,agnellino
31,12,alèvri,farina
32,13,èna,uno
33,13,dio,due
34,13,trìa,tre
35,13,dhèka,dieci
36,14,ivò,io
37,14,esì,tu
38,14,emìs,noi
39,14,esìs,voi
40,15,tis,chi
41,15,ti,che cosa
42,16,sìmeri,oggi
43,16,àvrio,domani
44,16,chtès,ieri
45,17,kalòsirte,benvenuto/i
46,18,dèno,io lego
47,19,èxo,ho / avere
48,19,ime,sono / essere
49,20,agapò,io amo
50,21,torò,io vedo/guardo
51,22,akùo,io ascolto
52,23,agapiméni,amata
53,24,vrèchi,piove
54,24,chionìzi,nevica
55,24,astràfti,lampeggia
